state,code,age_min,age_max,population
Arizona,AZ,0,4,"402,255"
Arizona,AZ,5,9,"446,309"
Arizona,AZ,10,14,"476,245"
Arizona,AZ,15,19,"482,998"
Arizona,AZ,20,24,"488,212"
Arizona,AZ,25,29,"502,697"
Arizona,AZ,30,34,"497,839"
Arizona,AZ,35,39,"469,845"
Arizona,AZ,40,44,"445,579"
Arizona,AZ,45,49,"418,914"
Arizona,AZ,50,54,"431,427"
Arizona,AZ,55,59,"423,315"
Arizona,AZ,60,64,"456,696"
Arizona,AZ,65,69,"410,229"
Arizona,AZ,70,74,"374,138"
Arizona,AZ,75,79,"265,066"
Arizona,AZ,80,84,"156,443"
Arizona,AZ,85,,"128,109"
Florida,FL,0,4,"1,091,954"
Florida,FL,5,9,"1,146,199"
Florida,FL,10,14,"1,291,404"
Florida,FL,15,19,"1,245,029"
Florida,FL,20,24,"1,244,420"
Florida,FL,25,29,"1,312,400"
Florida,FL,30,34,"1,426,141"
Florida,FL,35,39,"1,358,417"
Florida,FL,40,44,"1,370,445"
Florida,FL,45,49,"1,312,755"
Florida,FL,50,54,"1,404,353"
Florida,FL,55,59,"1,468,809"
Florida,FL,60,64,"1,509,806"
Florida,FL,65,69,"1,351,351"
Florida,FL,70,74,"1,241,909"
Florida,FL,75,79,"900,486"
Florida,FL,80,84,"572,496"
Florida,FL,85,,"532,754"
Georgia,GA,0,4,"625,969"
Georgia,GA,5,9,"665,082"
Georgia,GA,10,14,"777,105"
Georgia,GA,15,19,"771,330"
Georgia,GA,20,24,"725,809"
Georgia,GA,25,29,"726,782"
Georgia,GA,30,34,"738,064"
Georgia,GA,35,39,"733,823"
Georgia,GA,40,44,"714,545"
Georgia,GA,45,49,"687,681"
Georgia,GA,50,54,"711,163"
Georgia,GA,55,59,"679,360"
Georgia,GA,60,64,"657,166"
Georgia,GA,65,69,"543,530"
Georgia,GA,70,74,"453,411"
Georgia,GA,75,79,"279,012"
Georgia,GA,80,84,"170,344"
Georgia,GA,85,,"139,390"
Illinois,IL,0,4,"703,551"
Illinois,IL,5,9,"786,184"
Illinois,IL,10,14,"805,013"
Illinois,IL,15,19,"843,352"
Illinois,IL,20,24,"802,672"
Illinois,IL,25,29,"846,637"
Illinois,IL,30,34,"858,792"
Illinois,IL,35,39,"864,721"
Illinois,IL,40,44,"819,718"
Illinois,IL,45,49,"773,218"
Illinois,IL,50,54,"812,897"
Illinois,IL,55,59,"820,153"
Illinois,IL,60,64,"831,252"
Illinois,IL,65,69,"690,107"
Illinois,IL,70,74,"572,936"
Illinois,IL,75,79,"369,334"
Illinois,IL,80,84,"241,987"
Illinois,IL,85,,"228,945"
Michigan,MI,0,4,"545,979"
Michigan,MI,5,9,"585,574"
Michigan,MI,10,14,"632,071"
Michigan,MI,15,19,"656,015"
Michigan,MI,20,24,"659,277"
Michigan,MI,25,29,"657,608"
Michigan,MI,30,34,"656,746"
Michigan,MI,35,39,"607,560"
Michigan,MI,40,44,"607,014"
Michigan,MI,45,49,"574,058"
Michigan,MI,50,54,"648,462"
Michigan,MI,55,59,"673,468"
Michigan,MI,60,64,"723,695"
Michigan,MI,65,69,"612,137"
Michigan,MI,70,74,"506,121"
Michigan,MI,75,79,"318,950"
Michigan,MI,80,84,"194,535"
Michigan,MI,85,,"191,541"
North Carolina,NC,0,4,"582,801"
North Carolina,NC,5,9,"617,727"
North Carolina,NC,10,14,"689,760"
North Carolina,NC,15,19,"709,711"
North Carolina,NC,20,24,"705,531"
North Carolina,NC,25,29,"674,087"
North Carolina,NC,30,34,"702,577"
North Carolina,NC,35,39,"670,328"
North Carolina,NC,40,44,"680,609"
North Carolina,NC,45,49,"654,581"
North Carolina,NC,50,54,"698,866"
